id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-12-27T11:02:28;payment unleash Jamaican Dollar;1
2;Rest;2020-12-28T06:18:58;Plains;2
3;Quality Plastic plum;2020-12-27T10:39:20;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-12-28T07:06:32;Architect SSL;4
5;zero tolerance;2020-12-28T04:02:51;user-facing CSS;5
6;ADP Ouguiya;2020-12-27T23:59:19;Garden;6
7;auxiliary;2020-12-28T08:15:19;functionalities Bedfordshire withdrawal;7
8;Data;2020-12-27T11:13:20;Viaduct hybrid;8
9;mesh;2020-12-28T09:38:59;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-12-28T07:37:53;Re-engineered withdrawal Ball;10
